track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Purple Pills,0.78,0.634,1.0,-5.941,1.0,0.16,0.0199,2.98e-05,0.29,0.754,125.25,4.0
I'm Real (feat. Ja Rule) - Murder Remix,0.708,0.587,11.0,-7.93,1.0,0.151,0.273,0.03046073657362849,0.0718,0.554,83.46,4.0
Something,0.644,0.981,7.0,-6.644,1.0,0.0439,0.0271,9.67e-05,0.11,0.379,140.012,4.0
Where the Party At (feat. Nelly),0.596,0.661,5.0,-6.239,1.0,0.226,0.31,0.03046073657362849,0.0847,0.86,129.491,5.0
"Independent Women, Pt. 1",0.73,0.602,6.0,-3.782,1.0,0.206,0.362,3.69e-06,0.169,0.927,97.954,4.0
This I Promise You,0.55,0.587,2.0,-6.279,1.0,0.0329,0.354,0.03046073657362849,0.128,0.466,165.975,4.0
Little L,0.878,0.724,10.0,-5.373,1.0,0.129,0.168,0.0116,0.133,0.904,121.906,4.0
Put It On Me,0.831,0.79,1.0,-4.714,1.0,0.165,0.0024,0.03046073657362849,0.0515,0.791,93.14,4.0
If You're Gone,0.544,0.659,9.0,-7.191,1.0,0.0298,0.427,1.33e-06,0.126,0.361,109.933,4.0
Whole Again,0.747,0.706,4.0,-4.653,1.0,0.0413,0.0844,0.00355,0.174,0.567,94.019,4.0
Peaches & Cream,0.677,0.52,4.0,-6.255,1.0,0.334,0.00277,0.03046073657362849,0.0532,0.768,203.862,4.0
Touch Me (Radio Edit) [feat. Cassandra],0.464,0.922,5.930596285434995,-8.399,1.0,0.0638,0.124,0.227,0.0546,0.695,129.078,4.0
All For You,0.753,0.934,2.0,-3.011,1.0,0.0736,0.0174,0.065,0.128,0.73,113.525,3.0
Bootylicious,0.84,0.835,1.0,-4.386,1.0,0.275,0.00281,1.11e-06,0.152,0.637,103.376,4.0
Jaded,0.518,0.866,9.0,-4.476,1.0,0.0509,0.00413,1.93e-05,0.246,0.671,117.983,4.0
I'm a Thug,0.933,0.561,11.0,-5.961,1.0,0.122,0.0275,0.03046073657362849,0.102,0.586,139.976,4.0
Never Had A Dream Come True,0.639,0.534,5.0,-5.588,1.0,0.0281,0.508,0.03046073657362849,0.0948,0.434,122.931,4.0
Izzo (H.O.V.A.),0.618,0.844,1.0,-4.051,1.0,0.342,0.0178,0.000126,0.0634,0.697,84.411,4.0
It's Raining Men,0.637,0.929,5.0,-6.03,1.0,0.0447,0.063,0.00796,0.318,0.604,136.482,4.0
